hhid,id2,rule_name,detail
04 0584 595 2,1,monetary_outlier_q6_04c,"q6_04c=40000.0 outside IQR bounds [-10000, 22000]"
04 0584 596 8,1,monetary_outlier_q6_04c,"q6_04c=50000.0 outside IQR bounds [-10000, 22000]"
04 0697 028 5,1,monetary_outlier_q6_04c,"q6_04c=30000.0 outside IQR bounds [-10000, 22000]"
04 0712 094 6,1,monetary_outlier_q6_04c,"q6_04c=25000.0 outside IQR bounds [-10000, 22000]"
04 0740 079 3,3,monetary_outlier_q6_04c,"q6_04c=100000.0 outside IQR bounds [-10000, 22000]"
04 0755 043 5,1,monetary_outlier_q6_04c,"q6_04c=30000.0 outside IQR bounds [-10000, 22000]"
04 0796 079 5,6,monetary_outlier_q6_04c,"q6_04c=245000.0 outside IQR bounds [-10000, 22000]"
05 0062 433 0,1,monetary_outlier_q6_04c,"q6_04c=100000.0 outside IQR bounds [-10000, 22000]"
06 0180 007 0,3,monetary_outlier_q6_04c,"q6_04c=31000.0 outside IQR bounds [-10000, 22000]"
06 0229 014 3,4,monetary_outlier_q6_04c,"q6_04c=50000.0 outside IQR bounds [-10000, 22000]"
08 0004 101 8,2,monetary_outlier_q6_04c,"q6_04c=35000.0 outside IQR bounds [-10000, 22000]"
09 0039 087 4,1,monetary_outlier_q6_04c,"q6_04c=30000.0 outside IQR bounds [-10000, 22000]"
10 0051 271 4,1,monetary_outlier_q6_04c,"q6_04c=62000.0 outside IQR bounds [-10000, 22000]"
04 0435 024 3,1,monetary_outlier_q6_04d,"q6_04d=118000.0 outside IQR bounds [-56250, 113750]"
06 0463 201 9,2,monetary_outlier_q6_04d,"q6_04d=200000.0 outside IQR bounds [-56250, 113750]"
10 0076 672 7,3,monetary_outlier_q6_04d,"q6_04d=180000.0 outside IQR bounds [-56250, 113750]"
03 0261 182 4,2,monetary_outlier_q6_04e,"q6_04e=16000.0 outside IQR bounds [-5250, 12750]"
03 0447 020 7,1,monetary_outlier_q6_04e,"q6_04e=31000.0 outside IQR bounds [-5250, 12750]"
04 0801 026 1,2,monetary_outlier_q6_04e,"q6_04e=24000.0 outside IQR bounds [-5250, 12750]"
10 0137 204 1,2,monetary_outlier_q6_04e,"q6_04e=20000.0 outside IQR bounds [-5250, 12750]"
03 0455 043 3,1,monetary_outlier_q6_05a,"q6_05a=66000.0 outside IQR bounds [-26000, 54000]"
03 0465 030 8,3,monetary_outlier_q6_05a,"q6_05a=60000.0 outside IQR bounds [-26000, 54000]"
04 0095 221 4,1,monetary_outlier_q6_05a,"q6_05a=150000.0 outside IQR bounds [-26000, 54000]"
04 0391 016 9,3,monetary_outlier_q6_05a,"q6_05a=75000.0 outside IQR bounds [-26000, 54000]"
04 0495 040 2,2,monetary_outlier_q6_05a,"q6_05a=60000.0 outside IQR bounds [-26000, 54000]"
04 0504 205 7,1,monetary_outlier_q6_05a,"q6_05a=90000.0 outside IQR bounds [-26000, 54000]"
04 0573 531 9,1,monetary_outlier_q6_05a,"q6_05a=90000.0 outside IQR bounds [-26000, 54000]"
04 0573 540 5,2,monetary_outlier_q6_05a,"q6_05a=60000.0 outside IQR bounds [-26000, 54000]"
